"kingdom","kingdomKey","phylum","phylumKey","class","classKey","order","orderKey","family","familyKey","genus","genusKey","species","speciesKey"
"Animalia",1,"Arthropoda",54,"Insecta",216,"Diptera",811,"Anthomyzidae",7272,"Stiphrosoma",1587657,"Stiphrosoma humerale",5079917
"Animalia",1,"Porifera",105,"",NULL,"",NULL,"Labechiidae",3251651,"Labechia",4580342,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Chrysomelidae",7780,"Acalymma",1047579,"Acalymma vittatum",1047583
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Noctuidae",7015,"Aletia",9313111,"Aletia oxygala",4301119
"Animalia",1,"Arthropoda",54,"Insecta",216,"Blattodea",800,"Ectobiidae",4802341,"Ectobius",1998077,"Ectobius lapponicus",1998104
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hemiptera",809,"Coreidae",9649,"Leptoglossus",2050115,"Leptoglossus occidentalis",5156102
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hymenoptera",1457,"Tenthredinidae",7918,"Fenella",3258727,"Fenella nigrita",5759509
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Adelidae",4538,"Adela",1856563,"Adela ridingsella",1860989
"Animalia",1,"Arthropoda",54,"Insecta",216,"Megaloptera",1451,"Corydalidae",5461,"Corydalus",1729931,"Corydalus cornutus",1729944
"Animalia",1,"Mollusca",52,"Gastropoda",225,"",NULL,"Lophospiridae",3243814,"Lophospira",10425023,"Murchisonia perangulata",9462527
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Elateridae",7825,"Ampedus",4408181,"Ampedus nigricollis",6972378
"Animalia",1,"Mollusca",52,"Gastropoda",225,"",NULL,"Planorbidae",2851,"Gyraulus",2290991,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hymenoptera",1457,"Sphecidae",4352,"Sceliphron",7763463,"Sceliphron caementarium",5041466
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Silphidae",4762,"Nicrophorus",1038957,"Nicrophorus pustulatus",1038990
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Gracillariidae",5487,"Cameraria",1749401,"Cameraria bethunella",5104690
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hymenoptera",1457,"Vespidae",4490,"Ancistrocerus",1311332,"Ancistrocerus gazella",5037434
"Animalia",1,"Arthropoda",54,"Trilobita",9273948,"Proetida",9442527,"Aulacopleuridae",4637656,"Otarion",4637670,"Otarion spinicaudatum",8661812
"Animalia",1,"Mollusca",52,"Gastropoda",225,"",NULL,"Holopeidae",3245077,"Holopea",9723219,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Sphingidae",8868,"Agrius",1861607,"Agrius cingulata",5123636
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Gracillariidae",5487,"Caloptilia",1750339,"Caloptilia umbratella",5105039
"Animalia",1,"Chordata",44,"Aves",212,"Anseriformes",1108,"Anatidae",2986,"Cygnus",2498334,"Cygnus columbianus",2498338
